n,timeMs,comparisons,allocations,depth
100,2.69221,623,649,3
500,0.506191,4772,4905,5
1000,1.182542,10352,10645,6
5000,5.242852,58621,60563,9
10000,6.789022,126858,130785,10
20000,21.748824,274503,282140,11
