n,timeMs,comparisons,allocations,depth
100,6.418295,253,451,7
500,0.661053,1509,2543,10
1000,1.538903,3016,4996,10
5000,20.05129,15609,25336,13
10000,1.676911,32496,52620,14
20000,6.131242,64809,104482,16
